N (kg/ha),P (kg/ha),K (kg/ha),Temp (°C),Humidity (%),pH,Rainfall (mm),label,guide
1710,22.16,305,28.4,76.4,7.5,2467,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2110,20.93,328,29.3,90,7.5,2183,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2530,27.67,356,28.9,78.1,7.5,1874,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2210,25.95,317,27.2,75.8,7.5,1817,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
1470,18.7,294,27.4,80.9,7.2,1963,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
1470,18.7,294,29.4,78.4,7.2,2257,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2530,27.67,356,27.9,83.7,7.5,2234,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
1170,22.14,283,27,89.1,7.4,2438,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
3520,29.72,381,28.6,87.8,7.4,2328,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2530,27.67,356,27.4,85.8,7.5,2268,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
1470,18.7,294,28.6,79.6,7.2,1856,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
3520,29.72,381,29.1,89,7.4,1936,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2110,20.93,328,28,82.3,7.5,1969,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2210,25.95,317,28,81.4,7.5,2176,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
3670,24.15,398,29.4,86.4,7.3,2010,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
3310,24.45,359,29.2,87,7.4,2201,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2530,27.67,356,29,82.7,7.5,2366,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
3310,24.45,359,27.9,81,7.4,2481,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2530,27.67,356,29.4,75.8,7.5,1877,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
1710,22.16,305,27.8,83.4,7.5,2190,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2110,20.93,328,28,85.3,7.5,2155,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2530,27.67,356,28.8,87.9,7.5,2125,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2210,25.95,317,29,79.5,7.5,2064,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
3520,29.72,381,27,80.8,7.4,2088,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2530,27.67,356,28.2,79,7.5,1883,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2530,27.67,356,28.3,82.6,7.5,2433,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
3520,29.72,381,28.8,77.8,7.4,1963,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2210,25.95,317,28.2,75.3,7.5,2396,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2920,22.97,364,28.3,84.6,7.5,1868,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2520,23.57,328,27.7,86.2,7.4,2440,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2920,22.97,364,28.9,77.6,7.5,1935,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2110,20.93,328,29.2,84,7.5,2205,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2530,27.67,356,27.1,80.9,7.5,2009,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2530,27.67,356,27.4,77.9,7.5,2325,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
1710,22.16,305,28.7,78.9,7.5,2292,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2210,25.95,317,27.8,77.1,7.5,2327,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
3520,29.72,381,28.5,87.4,7.4,2486,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2210,25.95,317,28.8,77.1,7.5,1948,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2530,27.67,356,27.8,86.5,7.5,2016,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
3310,24.45,359,28.2,76.3,7.4,2270,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
1470,18.7,294,27.8,84.7,7.2,2461,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2520,23.57,328,27,75.6,7.4,2483,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
1170,22.14,283,29.2,84.2,7.4,2482,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
3310,24.45,359,28.1,83.8,7.4,2443,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
1470,18.7,294,27.9,89.2,7.2,1876,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
1710,22.16,305,29.3,76.2,7.5,2303,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2110,20.93,328,27.2,80.1,7.5,2467,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
3310,24.45,359,27.7,83.5,7.4,2178,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2920,22.97,364,28.7,88.8,7.5,2019,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
1710,22.16,305,29.3,88.8,7.5,2094,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
1710,22.16,305,27.7,79.6,7.5,2170,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2110,20.93,328,27.5,75.9,7.5,1850,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
3670,24.15,398,27.2,81.2,7.3,1919,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2520,23.57,328,28.5,86.2,7.4,2263,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
1470,18.7,294,27.5,82.3,7.2,1997,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2920,22.97,364,28.2,83.9,7.5,2264,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2530,27.67,356,28.6,86.3,7.5,2231,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2520,23.57,328,29.1,89.2,7.4,2338,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
1170,22.14,283,27.9,85.1,7.4,2061,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
1170,22.14,283,28.8,75,7.4,2093,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
1470,18.7,294,29.2,76.4,7.2,2048,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2530,27.67,356,28.4,80,7.5,1950,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
3520,29.72,381,27.5,84.5,7.4,2102,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
3520,29.72,381,28.3,86.5,7.4,2148,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
1710,22.16,305,27.6,83.4,7.5,1953,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
2110,20.93,328,27.4,86,7.5,1949,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
3310,24.45,359,29.3,80.1,7.4,1869,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
1710,22.16,305,29,82.3,7.5,1872,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
3520,29.72,381,29.4,82.3,7.4,1986,cinnamon,Pits of 50 cm are dug at a spacing of 3 x 3 m filled with compost and topsoil before plantation. Seedlings are transplanted when they are about 12 months old at a distance of about 2 metresbetween plants and rows. The planting is done in suitable weather conditions/ preferablyin June-July to get benefit of monsoon for the establishment of seedlings. In each pit/ 5seedlings can be planted. Partial shade in the initial years is advantageous for healthy andrapid growth of plants.
